Category,Name,Key / ID,Kind,Source file,Notes
Integration connector,Meta Lead Ads,meta,Lead source,src/lib/integrations/providers/meta-lead-ads.ts,OAuth adapter built; connectPath null (not yet enabled)
Integration connector,Twilio SMS,twilio_sms,Messaging,src/lib/integrations/catalog.ts,Outbound + inbound SMS
Integration connector,WhatsApp (Twilio),twilio_whatsapp,Messaging,src/lib/integrations/catalog.ts,Plan-gated on whatsapp feature
Integration connector,Google Calendar,google_calendar,Booking,src/lib/integrations/catalog.ts,Availability + write-back
Integration connector,Calendly,calendly,Booking,src/lib/integrations/catalog.ts,Booking link + booking capture
Integration connector,Resend email,email,Email,src/lib/integrations/catalog.ts,Platform-level (not customer-connected)
Integration connector,Google Ads,google_ads,Lead source,src/lib/integrations/providers/google-ads.ts,Lead Form extensions; OAuth live
Integration connector,Microsoft Advertising,microsoft_ads,Lead source,src/lib/integrations/providers/microsoft-ads.ts,Bing Lead Form extensions; OAuth live
Integration connector,TikTok Lead Generation,tiktok_ads,Lead source,src/lib/integrations/providers/tiktok-ads.ts,
Integration connector,LinkedIn Lead Gen Forms,linkedin_ads,Lead source,src/lib/integrations/providers/linkedin-ads.ts,
Integration connector,Slack,slack,Messaging / notify,src/lib/integrations/providers/slack.ts,Notification delivery
Integration connector,HubSpot,hubspot,CRM,src/lib/integrations/providers/hubspot.ts,Token (private app) rather than OAuth
Integration connector,Zoho CRM,zoho_crm,CRM,src/lib/integrations/providers/zoho-crm.ts,
Integration connector,Salesforce,salesforce,CRM,src/lib/integrations/catalog.ts,
Sourcing provider,Meta engagement,meta_engagement,SOCIAL_ENGAGEMENT,src/lib/find-leads/server/providers/meta-engagement.ts,Free / first-party audience
Sourcing provider,LinkedIn engagement,linkedin_engagement,SOCIAL_ENGAGEMENT,src/lib/find-leads/server/providers/linkedin-engagement.ts,Free / first-party audience
Sourcing provider,TikTok engagement,tiktok_engagement,SOCIAL_ENGAGEMENT,src/lib/find-leads/server/providers/tiktok-engagement.ts,Free / first-party audience
Sourcing provider,Google Places,google_places,COMPANY_SEARCH,src/lib/find-leads/server/providers/google-places.ts,
Sourcing provider,Meta Ad Library,meta_ad_library,COMPANY_SEARCH,src/lib/find-leads/server/providers/meta-ad-library.ts,Free public advertiser registry
Sourcing provider,TikTok Commercial Content Library,tiktok_commercial_content,COMPANY_SEARCH,src/lib/find-leads/server/providers/tiktok-commercial-content.ts,Free public advertiser registry
Sourcing provider,Companies House,companies_house,COMPANY_ENRICHMENT,src/lib/find-leads/server/providers/companies-house.ts,Free; PECR corporate-subscriber check
